datetime,open,high,low,close,volume,pct_changes,volatility_zone,price_range,close_open_diff,volume_change,trend,transformed_at
2025-07-11 15:45:00,211.080002,211.14999,211.074997,211.13499,36767,0.024727737875207545,Stable,0.0749930000000063,0.054987999999980275,-6300.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:46:00,211.125,211.13,211.031006,211.089996,42507,-0.021310536922358736,Stable,0.09899400000000469,-0.03500399999998649,5740.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:47:00,211.089996,211.09,211.048996,211.070007,31138,-0.009469420805718887,Stable,0.04100400000001514,-0.019989000000009582,-11369.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:48:00,211.070999,211.13,211.070007,211.12,46180,0.02368550639220146,Stable,0.059992999999991525,0.04900100000000407,15042.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:49:00,211.125,211.20979,211.11,211.19,61010,0.03315649867374759,Stable,0.0997899999999845,0.06499999999999773,14830.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:50:00,211.19,211.3,211.053497,211.065002,175074,-0.05918746152753229,Stable,0.24650300000001835,-0.12499800000000505,114064.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:51:00,211.080002,211.23,211.074997,211.16499,77498,0.047373083672108685,Stable,0.15500299999999356,0.08498799999998141,-97576.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:52:00,211.16,211.24001,211.13,211.205,83999,0.01894726962079485,Stable,0.11001000000001682,0.045000000000015916,6501.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:53:00,211.21001,211.37,211.14999,211.3002,157759,0.04507469046659551,Stable,0.22001000000000204,0.09018999999997845,73760.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:54:00,211.31,211.39,211.10001,211.28,192374,-0.009559858438368263,Stable,0.28998999999998887,-0.030000000000001137,34615.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:55:00,211.3,211.39999,211.14,211.17,257959,-0.05206361226808287,Stable,0.25999000000001615,-0.13000000000002387,65585.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:56:00,211.16,211.19501,211.07,211.13,313326,-0.018942084576401008,Stable,0.12501000000000317,-0.030000000000001137,55367.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:57:00,211.14,211.28,211.1,211.2,468934,0.033154928243250836,Stable,0.18000000000000682,0.060000000000002274,155608.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:58:00,211.19,211.22,211.11,211.16,357301,-0.018939393939387816,Stable,0.10999999999998522,-0.030000000000001137,-111633.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:59:00,211.16499,211.18,211.01,211.074997,1130558,-0.04025525667740171,Stable,0.17000000000001592,-0.08999299999999266,773257.0,Downtrend,2025-07-12 14:55:53.623146
